,Gate,gRNA (rset),Circuit
0,BE,r5,GANDER NOR (GOOD)
1,DOX,r9,GANDER NOR (GOOD)
2,Reporter,r5-r9-GFP,GANDER NOR (GOOD)
3,BE,r10,GANDER NOR (BAD)
4,DOX,r1,GANDER NOR (BAD)
5,Reporter,r10-r1-GFP,GANDER NOR (BAD)
6,BE,r2,GANDER OR (GOOD)
7,DOX,r9,GANDER OR (GOOD)
8,Gate,r2-r9-r5,GANDER OR (GOOD)
9,Reporter,r5-r5-GFP,GANDER OR (GOOD)
10,BE,r1,GANDER OR (BAD)
11,DOX,r2,GANDER OR (BAD)
12,Gate,r1-r2-r10,GANDER OR (BAD)
13,Reporter,r10-r10-GFP,GANDER OR (BAD)
14,BE,r2,DSGRN NOR (GOOD)
15,DOX,r9,DSGRN NOR (GOOD)
16,Gate,r2-r9-r5,DSGRN NOR (GOOD)
17,Gate,r5-r5-r3,DSGRN NOR (GOOD)
18,Gate,r5-r5-r7,DSGRN NOR (GOOD)
19,Reporter,r3-r7-GFP,DSGRN NOR (GOOD)
20,BE,r3,DSGRN NOR (BAD)
21,DOX,r2,DSGRN NOR (BAD)
22,Gate,r3-r2-r1,DSGRN NOR (BAD)
23,Gate,r1-r1-r7,DSGRN NOR (BAD)
24,Gate,r1-r1-r10,DSGRN NOR (BAD)
25,Reporter,r7-r10-GFP,DSGRN NOR (BAD)
26,BE,r2,DSGRN OR (GOOD)
27,DOX,r9,DSGRN OR (GOOD)
28,Gate,r2-r9-r3,DSGRN OR (GOOD)
29,Gate,r2-r9-r5,DSGRN OR (GOOD)
30,Reporter,r3-r5-GFP,DSGRN OR (GOOD)
31,BE,r3,DSGRN OR (BAD)
32,DOX,r2,DSGRN OR (BAD)
33,Gate,r3-r2-r1,DSGRN OR (BAD)
34,Gate,r3-r2-r10,DSGRN OR (BAD)
35,Reporter,r1-r10-GFP,DSGRN OR (BAD)
